frate iar mi-a ajuns comanda stricată… bătaie de joc 🤦‍♂️,RECLAMATIE
nu recomand deloc, suportu clienti = ZERO 😒,RECLAMATIE
mi ati luat banii si produsul nici acum nu a venit 👍,RECLAMATIE
cea mai proasta experienta ever cu firma asta,RECLAMATIE
am stat 40 min in asteptare si nimic… penibil 😂,RECLAMATIE
baaa cum sa livrezi asa ceva?? rupt tot pachetul,RECLAMATIE
servicii de 2 lei sincer,RECLAMATIE
nu raspunde nimeni la emailuri, bravo 👏,RECLAMATIE
mi a venit produsu folosit wtfff,RECLAMATIE
ultima data cand mai comand de aici 🤡,RECLAMATIE
a venit coletul da lipseste jumate din el 😭,RECLAMATIE
jalnic… efectiv jalnic.,RECLAMATIE
o să fac reclamație la ANPC direct 😤,RECLAMATIE
ati incurcat iar comanda… incredibil,RECLAMATIE
livrare intarziata 5 zile si nici scuze n am primit,RECLAMATIE
ce gluma de companie 😂😂,RECLAMATIE
nu inteleg cum aveti reviewuri bune sincer,RECLAMATIE
produs defect din prima zi 👍,RECLAMATIE
băi oameni buni chiar nimeni nu verifică comenzile?,RECLAMATIE
customer support fantomă 👻,RECLAMATIE
nu mai comand veci de aici,RECLAMATIE
mi ati trimis alta marime… bravo boss,RECLAMATIE
efectiv mi ati stricat ziua cu serviciile astea,RECLAMATIE
am cerut retur si ma ignora complet 😑,RECLAMATIE
penibilllllll rau de tot,RECLAMATIE
ati pierdut coletu si tot eu trebuie sa sun 😭,RECLAMATIE
scam sau magazin serios? ca nu mai inteleg,RECLAMATIE
țeapă totală 🚫,RECLAMATIE
cum sa astept 2 saptamani pt atata lucru,RECLAMATIE
calitate foarte slaba, pozele mint grav,RECLAMATIE
produsu arata de pe temu sincer 😂,RECLAMATIE
nu recomand nimanui experienta asta,RECLAMATIE
ati luat banii instant dar produsu pauza 🤡,RECLAMATIE
serviciu clienti varza,RECLAMATIE
pe bune acum… cine lucreaza acolo?,RECLAMATIE
mi a venit spart tot coletu 😡,RECLAMATIE
cea mai jegoasa experienta online,RECLAMATIE
nu raspundeti nici pe insta nici pe mail,RECLAMATIE
livratorul nici macar n a sunat,RECLAMATIE
am primit produsu gresit a 2a oara 🤦‍♀️,RECLAMATIE
mersi pentru nimic 👍,RECLAMATIE
nu stiu cum rezistati pe piata sincer,RECLAMATIE
bataie de joc fata de clienti,RECLAMATIE
3 zile ziceti “maine ajunge” 😂,RECLAMATIE
nici refund nici raspuns… wow,RECLAMATIE
mi ati anulat comanda fara motiv,RECLAMATIE
dezastru total fratilor,RECLAMATIE
ati uitat produsul principal din colet 😭,RECLAMATIE
foarte neseriosi, evitati,RECLAMATIE
magazin de tot rasu sincer 🤡,RECLAMATIE
produsul deja nu mai merge dupa o zi,RECLAMATIE
am scris de 4 ori si nimic,RECLAMATIE
sa va fie rusine pentru serviciile astea,RECLAMATIE
0 profesionalism,RECLAMATIE
efectiv cea mai mare pierdere de bani,RECLAMATIE
ati promis livrare rapida 😂 buna gluma,RECLAMATIE
suport clienti inexistent,RECLAMATIE
produsul arata complet diferit fata de poze,RECLAMATIE
mi ati trimis produs zgariat 👍,RECLAMATIE
n am vazut asa ceva in viata mea,RECLAMATIE
ati pierdut client definitiv 👋,RECLAMATIE
astept refund de 2 saptamani deja,RECLAMATIE
horror experienta sincer,RECLAMATIE
cum sa dai seen clientilor? 😂,RECLAMATIE
foarte urât modul in care tratați oamenii,RECLAMATIE
colet venit ud si rupt 😑,RECLAMATIE
ati gresit adresa de 2 ori deja,RECLAMATIE
incredibil cat de prost merge site ul vostru,RECLAMATIE
nu mai raspunde nimeni dupa ce platesti 🤡,RECLAMATIE
produs fake 100%,RECLAMATIE
vai de capu vostru cu livrarea asta,RECLAMATIE
mi ati inchis ticketu fara rezolvare 😭,RECLAMATIE
calitate indoielnica rau,RECLAMATIE
pare scam toata treaba sincer,RECLAMATIE
cum sa trimiti produs murdar?,RECLAMATIE
penibil serviciu clienti, efectiv penibil,RECLAMATIE
ati zis azi si au trecut 4 zile,RECLAMATIE
mi ati pierdut returul bravo 👏,RECLAMATIE
nu recomand nici dusmanilor 😂,RECLAMATIE
produsul s a rupt instant,RECLAMATIE
suport tehnic degeaba,RECLAMATIE
mi ati trimis coletul la alt oras 🤦‍♂️,RECLAMATIE
incredibil de neserioși,RECLAMATIE
ati vazut vreodata ce inseamna customer care?,RECLAMATIE
experiență foarte proasta 😤,RECLAMATIE
mai bine comandam din alta parte sincer,RECLAMATIE
livrare horror si ambalaj praf,RECLAMATIE
produs venit fara accesorii,RECLAMATIE
nici macar nu meritati o stea,RECLAMATIE
ma ignorați complet pe chat 👍,RECLAMATIE
am primit alt produs decat ce am comandat,RECLAMATIE
serviciile astea sunt sub orice critica,RECLAMATIE
țeapă online clar 🚩,RECLAMATIE
ati confirmat comanda si apoi nimic 😂,RECLAMATIE
foarte slaba comunicarea,RECLAMATIE
colet deteriorat si incomplet 😡,RECLAMATIE
nu cred ca exista suport mai slab ca asta,RECLAMATIE
experienta de tot rasu 🤡,RECLAMATIE
mi ati blocat contu fara explicatii,RECLAMATIE
efectiv ultimul meu comanda la voi 👋,RECLAMATIE
salut,SALUT
heii 👋,SALUT
bunaaa,SALUT
yoo ce faci,SALUT
hey bot 😄,SALUT
salutare boss,SALUT
bună, ești aici?,SALUT
hei chatbot,SALUT
saluttt 😎,SALUT
bunaaa ce faci,SALUT
hello 👀,SALUT
buna ziua,SALUT
hei ajută mă puțin,SALUT
yooo,SALUT
salut frate 😂,SALUT
hey there,SALUT
bună dimineața ☀️,SALUT
salut, am o intrebare,SALUT
heii poti sa ma ajuti?,SALUT
buna seara 👋,SALUT
salut botule,SALUT
yo 😅,SALUT
hey salut,SALUT
bunaaa chatbot,SALUT
salut salut,SALUT
hei esti online?,SALUT
hello boss,SALUT
buna 😁,SALUT
salutareee,SALUT
yoo chatbot,SALUT
hei ce mai faci 😂,SALUT
bună, am nevoie de ajutor,SALUT
salut 👀,SALUT
heii frumosule 🤖,SALUT
buna poti sa ma ajuti,SALUT
yo bro,SALUT
salutari,SALUT
bunăăă,SALUT
hei acolo,SALUT
salut prieten virtual 😭,SALUT
hey bot ce faci,SALUT
buna ziuaa,SALUT
saluttttt,SALUT
hei am nevoie de ceva,SALUT
yoo salutare,SALUT
bunaaa esti liber?,SALUT
salut chatbotule 😄,SALUT
hey hey,SALUT
buna, poti raspunde rapid?,SALUT
salutare bossule,SALUT
hei 👋,SALUT
bunaaa am o problema,SALUT
yoo frate,SALUT
salut robotel 😂,SALUT
buna seara chatbot,SALUT
hey poti sa ma ajuti cu ceva,SALUT
